Date,tsla,meta,goog,amzn,nflx,gbtc,gdx,intc,dal,c
2023-01-03 00:00:00-05:00,108.0999984741211,124.26531219482422,89.37885284423828,85.81999969482422,294.95001220703125,8.199999809265137,28.842233657836914,25.775142669677734,32.105247497558594,41.89805221557617
2023-01-04 00:00:00-05:00,113.63999938964844,126.88530731201172,88.39239501953125,85.13999938964844,309.4100036621094,8.380000114440918,30.06749153137207,26.69120979309082,33.857688903808594,42.97798538208008
2023-01-05 00:00:00-05:00,110.33999633789062,126.45694732666016,86.45933532714844,83.12000274658203,309.70001220703125,8.449999809265137,29.804935455322266,26.57549476623535,34.684696197509766,42.78580856323242
2023-01-06 00:00:00-05:00,113.05999755859375,129.5252227783203,87.84437561035156,86.08000183105469,315.54998779296875,8.649999618530273,30.689847946166992,27.703699111938477,35.47230911254883,43.298316955566406
2023-01-09 00:00:00-05:00,119.7699966430664,128.97732543945312,88.48208618164062,87.36000061035156,315.1700134277344,9.649999618530273,30.39811897277832,28.262981414794922,36.20085525512695,43.508811950683594
2023-01-10 00:00:00-05:00,118.8499984741211,132.48391723632812,88.92049407958984,89.87000274658203,327.5400085449219,9.880000114440918,30.962127685546875,28.388338088989258,37.500423431396484,44.10369873046875
2023-01-11 00:00:00-05:00,123.22000122070312,132.38430786132812,91.9296875,95.08999633789062,327.260009765625,9.800000190734863,30.69957160949707,28.783693313598633,37.58903503417969,44.57960510253906
2023-01-12 00:00:00-05:00,123.55999755859375,136.18975830078125,91.58094024658203,95.2699966430664,330.1300048828125,10.489999771118164,31.292753219604492,29.207977294921875,38.98705291748047,44.9273796081543
2023-01-13 00:00:00-05:00,122.4000015258789,136.45872497558594,92.4677505493164,98.12000274658203,332.82000732421875,11.319999694824219,31.749797821044922,29.034404754638672,37.60872268676758,45.68699645996094
2023-01-17 00:00:00-05:00,131.49000549316406,134.8448944091797,91.83004760742188,96.05000305175781,326.2200012207031,11.720000267028809,30.650951385498047,28.54262351989746,37.66779327392578,46.0439338684082
2023-01-18 00:00:00-05:00,128.77999877929688,132.51380920410156,91.45140838623047,95.45999908447266,326.3299865722656,10.829999923706055,30.349496841430664,27.78084373474121,37.78593826293945,45.23855209350586
2023-01-19 00:00:00-05:00,127.16999816894531,135.63189697265625,93.57378387451172,93.68000030517578,315.7799987792969,11.460000038146973,31.137165069580078,27.404773712158203,37.75640106201172,45.18363952636719
2023-01-20 00:00:00-05:00,133.4199981689453,138.83963012695312,98.92455291748047,97.25,342.5,12.180000305175781,31.526134490966797,28.176197052001953,38.425872802734375,46.757789611816406
2023-01-23 00:00:00-05:00,143.75,142.72479248046875,100.84764099121094,97.5199966430664,357.4200134277344,12.279999732971191,31.506689071655273,29.188690185546875,38.475101470947266,47.572322845458984
2023-01-24 00:00:00-05:00,143.88999938964844,142.5952911376953,98.85480499267578,96.31999969482422,363.8299865722656,11.970000267028809,31.82758903503418,28.851192474365234,38.19942855834961,47.05980682373047
2023-01-25 00:00:00-05:00,144.42999267578125,140.96153259277344,96.38368225097656,97.18000030517578,367.9599914550781,12.109999656677246,32.352699279785156,28.639049530029297,38.77046203613281,47.49911117553711
2023-01-26 00:00:00-05:00,160.27000427246094,146.73948669433594,98.80498504638672,99.22000122070312,364.8699951171875,12.239999771118164,31.856760025024414,29.015117645263672,38.61293411254883,47.76451110839844
2023-01-27 00:00:00-05:00,177.89999389648438,151.16256713867188,100.34942626953125,102.23999786376953,360.7699890136719,12.359999656677246,31.419170379638672,27.15406036376953,38.13051986694336,47.462501525878906
2023-01-30 00:00:00-05:00,166.66000366210938,146.5003662109375,97.59931182861328,100.55000305175781,353.1099853515625,11.890000343322754,30.952404022216797,26.951566696166992,37.80562973022461,47.3618278503418
2023-01-31 00:00:00-05:00,173.22000122070312,148.40310668945312,99.51244354248047,103.12999725341797,353.8599853515625,12.149999618530273,31.137165069580078,27.25048828125,38.494789123535156,47.79197311401367
2023-02-01 00:00:00-05:00,181.41000366210938,152.5373077392578,101.06684875488281,105.1500015258789,361.989990234375,12.649999618530273,31.837316513061523,28.031557083129883,39.272560119628906,47.7279052734375
2023-02-02 00:00:00-05:00,188.27000427246094,188.05165100097656,108.41046905517578,112.91000366210938,366.8900146484375,12.930000305175781,30.845436096191406,29.111547470092773,39.282413482666016,47.79197311401367
2023-02-03 00:00:00-05:00,189.97999572753906,185.82017517089844,104.8432846069336,103.38999938964844,365.8999938964844,12.319999694824219,29.48403549194336,29.236902236938477,38.96736145019531,47.089561462402344
2023-02-06 00:00:00-05:00,194.75999450683594,185.35195922851562,103.09955596923828,102.18000030517578,361.4800109863281,11.930000305175781,29.37706756591797,28.002227783203125,39.02643966674805,47.006378173828125
2023-02-07 00:00:00-05:00,196.80999755859375,190.89080810546875,107.65319061279297,102.11000061035156,362.95001220703125,12.149999618530273,29.78548812866211,28.353593826293945,38.97720718383789,47.255924224853516
2023-02-08 00:00:00-05:00,201.2899932861328,182.73196411132812,99.64197540283203,100.05000305175781,366.8299865722656,11.75,29.532657623291016,27.56301498413086,38.82952880859375,47.2744026184082
2023-02-09 00:00:00-05:00,207.32000732421875,177.24293518066406,95.11823272705078,98.23999786376953,362.5,10.630000114440918,28.939476013183594,27.06524085998535,38.40618133544922,46.19305419921875
2023-02-10 00:00:00-05:00,196.88999938964844,173.48728942871094,94.52037811279297,97.61000061035156,347.3599853515625,10.670000076293945,28.803335189819336,27.133560180664062,37.57918167114258,46.313209533691406
